2025-09-07 10:10:49.914 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=490s inplay=False runners=8
2025-09-07 10:10:49.914 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=548s inplay=False runners=8
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=68s inplay=False runners=8
2025-09-07 10:10:51.474 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=308s inplay=False runners=6
2025-09-07 10:10:51.474 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:51.474 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=488s inplay=False runners=8
2025-09-07 10:10:51.474 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:53.065 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=546s inplay=False runners=8
2025-09-07 10:10:53.065 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=66s inplay=False runners=8
2025-09-07 10:10:53.066 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:53.066 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=306s inplay=False runners=6
2025-09-07 10:10:53.066 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:53.066 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=486s inplay=False runners=8
2025-09-07 10:10:53.066 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:54.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=545s inplay=False runners=8
2025-09-07 10:10:54.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=65s inplay=False runners=8
2025-09-07 10:10:54.628 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:54.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=305s inplay=False runners=6
2025-09-07 10:10:54.629 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:54.629 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=485s inplay=False runners=8
2025-09-07 10:10:54.629 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:56.193 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=543s inplay=False runners=8
2025-09-07 10:10:56.193 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=63s inplay=False runners=8
2025-09-07 10:10:56.193 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:56.194 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=303s inplay=False runners=6
2025-09-07 10:10:56.194 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:56.194 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=483s inplay=False runners=8
2025-09-07 10:10:56.194 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:57.762 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=542s inplay=False runners=8
2025-09-07 10:10:57.762 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=62s inplay=False runners=8
2025-09-07 10:10:57.762 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:57.763 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=302s inplay=False runners=6
2025-09-07 10:10:57.763 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:57.763 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=482s inplay=False runners=8
2025-09-07 10:10:57.764 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:10:59.332 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=540s inplay=False runners=8
2025-09-07 10:10:59.332 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=60s inplay=False runners=8
2025-09-07 10:10:59.332 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:10:59.332 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=300s inplay=False runners=6
2025-09-07 10:10:59.333 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:10:59.333 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=480s inplay=False runners=8
2025-09-07 10:10:59.333 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:00.896 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=539s inplay=False runners=8
2025-09-07 10:11:00.896 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=59s inplay=False runners=8
2025-09-07 10:11:00.897 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:00.897 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=299s inplay=False runners=6
2025-09-07 10:11:00.897 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:00.897 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=479s inplay=False runners=8
2025-09-07 10:11:00.897 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:02.471 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=537s inplay=False runners=8
2025-09-07 10:11:02.471 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=57s inplay=False runners=8
2025-09-07 10:11:02.472 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:02.472 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=297s inplay=False runners=6
2025-09-07 10:11:02.473 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:02.473 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=477s inplay=False runners=8
2025-09-07 10:11:02.473 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:04.061 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=535s inplay=False runners=8
2025-09-07 10:11:04.062 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=55s inplay=False runners=8
2025-09-07 10:11:04.062 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:04.063 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=295s inplay=False runners=6
2025-09-07 10:11:04.063 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:04.063 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=475s inplay=False runners=8
2025-09-07 10:11:04.064 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:05.627 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=534s inplay=False runners=8
2025-09-07 10:11:05.627 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471000 t_to_off=54s inplay=False runners=8
2025-09-07 10:11:05.628 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471000 with total stake ~0.00
2025-09-07 10:11:05.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471456 t_to_off=294s inplay=False runners=6
2025-09-07 10:11:05.628 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471456 with total stake ~0.00
2025-09-07 10:11:05.628 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247471566 t_to_off=474s inplay=False runners=8
2025-09-07 10:11:05.628 | INFO     | src.dogbot.executor:_place_or_log:342 - DRY-RUN: would place 1 instruction(s) on 1.247471566 with total stake ~0.00
2025-09-07 10:11:07.196 | DEBUG    | src.dogbot.executor:run:278 - [poll] 1.247470920 t_to_off=532s inplay=False runners=8
